district,price,lon,lat,floor_area,number_floors,room_number,number_bathroom,school_district,rate,distance_metro,distance_hospital,distance_sea
440304,148414,114.019132,22.54646,158.88,32,5,4,1,13.96,692.2499434,2412.778888,2511.917636
440304,97552,114.06474,22.54644,122.91,26,3,2,0,0,343.1466629,1140.207009,7101.635366
440304,86679,114.06475,22.54645,129.79,26,3,2,0,0,343.1466629,1140.207009,7101.635366
440304,82910,114.0656,22.54626,173.08,30,4,2,0,0,355.8362859,1045.23543,7197.417806
440304,78766,114.0657,22.54627,170.76,30,4,3,0,0,355.8362859,1045.23543,7197.417806
440304,112623,114.0658,22.54628,110.99,22,3,2,0,0,355.8362859,1045.23543,7197.417806
440303,44375,114.13903,22.54607,94.65,35,2,2,0,0,695.7469702,1899.171061,3250.557262
440303,41411,114.13904,22.54608,68.34,35,1,1,0,0,695.7469702,1899.171061,3250.557262
440303,43149,114.13764,22.54601,72.54,32,2,1,0,0,748.975249,1757.985017,3368.679342
440303,45096,114.13765,22.54602,84.71,32,3,1,0,0,748.975249,1757.985017,3368.679342
440303,48047,114.13766,22.54603,84.71,32,3,1,0,0,748.975249,1757.985017,3368.679342
440303,48663,114.13767,22.54604,72.54,32,2,1,0,0,748.975249,1757.985017,3368.679342
440303,49559,114.13768,22.54605,72.54,32,2,1,0,0,748.975249,1757.985017,3368.679342
440305,110261,113.92635,22.54594,97.95,8,3,2,1,17.43,1343.338349,1432.197601,5000.824282
440303,46211,114.13218,22.54582,91.97,32,3,1,0,0,344.8958326,1211.917479,3842.084831
440305,130334,113.9317,22.54577,47.11,24,1,1,1,17.43,889.9321112,1748.572924,4443.350272
440305,84559,113.93171,22.54576,149.01,6,5,2,1,17.43,889.9321112,1748.572924,4443.350272
440305,102608,113.93172,22.54575,116.95,11,3,2,1,17.43,889.9321112,1748.572924,4443.350272
440305,105017,113.93173,22.54574,100.46,11,3,1,1,17.43,889.9321112,1748.572924,4443.350272
440305,105615,113.93174,22.54573,92.98,12,3,2,1,17.43,889.9321112,1748.572924,4443.350272
440305,113324,113.93175,22.54572,79.86,17,2,1,1,17.43,889.9321112,1748.572924,4443.350272
440305,114948,113.93176,22.54571,47.5,7,2,1,1,17.43,889.9321112,1748.572924,4443.350272
440305,120955,113.93177,22.54578,54.9,24,2,1,1,17.43,889.9321112,1748.572924,4443.350272
440305,121896,113.93178,22.54579,109.93,24,3,2,1,17.43,889.9321112,1748.572924,4443.350272
440305,128557,113.93179,22.5457,105.79,24,3,2,1,17.43,889.9321112,1748.572924,4443.350272
440304,91271,114.08941,22.54562,93.13,25,3,1,1,26.89,255.2870131,247.7779436,6608.851021
440304,105230,114.08942,22.54561,93.13,25,3,1,1,26.89,255.2870131,247.7779436,6608.851021
440304,63906,114.095535,22.54558,98.27,33,3,2,0,0,546.6393063,552.2863379,6375.511806
440304,74199,114.095536,22.54559,50.54,6,2,1,0,0,546.6393063,552.2863379,6375.511806
440305,92395,113.92921,22.54537,97.3,6,3,1,1,17.43,1098.723449,1540.198534,4709.420125
440304,101994,114.09383,22.54535,86.77,19,1,1,1,10.08,450.0487956,413.3460236,6458.927295
440304,136849,114.09385,22.54536,99.38,21,3,1,1,10.08,450.0487956,413.3460236,6458.927295
440305,119608,113.93563,22.54485,102,23,3,2,1,6.93,524.7861887,1984.52982,4053.557231
440305,72214,113.9961,22.54477,67.58,7,2,1,0,0,545.5966982,1882.368053,681.2555122
440305,144912,113.92919,22.54452,142.57,18,1,3,1,17.43,1064.762465,1466.33185,4716.939218
440303,39048,114.1292,22.54451,105,33,3,2,0,0,579.0185117,536.106638,5064.583549
440303,41039,114.1293,22.54452,105.51,33,3,2,0,0,579.0185117,536.106638,5064.583549
440303,43013,114.1294,22.54453,67.19,33,2,1,0,0,579.0185117,536.106638,5064.583549
440303,44583,114.1295,22.54454,88.6,33,3,1,0,0,579.0185117,536.106638,5064.583549
440303,45978,114.1296,22.54455,87,33,3,1,0,0,579.0185117,536.106638,5064.583549
440303,45239,114.120031,22.54442,42,22,1,1,0,0,221.2464823,262.7341577,5008.80491
440303,54886,114.120032,22.54443,28.42,22,1,1,0,0,221.2464823,262.7341577,5008.80491
440303,55859,114.120033,22.54444,37.42,22,1,1,0,0,221.2464823,262.7341577,5008.80491
440303,56983,114.120034,22.54445,37.38,22,1,1,0,0,221.2464823,262.7341577,5008.80491
440303,60811,114.120035,22.54446,37,22,1,1,0,0,221.2464823,262.7341577,5008.80491
440304,90622,114.0945,22.54438,161.11,11,5,3,1,10.08,418.7100816,532.7689,6536.465163
440304,82948,114.0946,22.54439,129.6,24,3,2,1,10.08,418.7100816,532.7689,6536.465163
440303,34559,114.13645,22.54424,118.06,30,3,1,0,0,750.3295497,1601.172713,3584.386209
440303,48458,114.13646,22.54425,78.42,7,2,1,0,0,750.3295497,1601.172713,3584.386209
440304,144335,114.09478,22.54407,44.48,29,1,1,1,10.08,422.0841782,577.8326669,6560.121556
440304,126295,114.033113,22.543659,49.25,28,1,1,1,13.96,236.3603344,1767.701458,3836.041693
440305,70774,113.98892,22.54348,103.57,6,4,2,0,0,606.1298352,1684.701895,923.4133566
440305,81819,113.98893,22.54349,55,5,2,1,0,0,606.1298352,1684.701895,923.4133566
440304,58460,114.096143,22.543249,122.82,33,3,1,0,0,371.8179426,743.3349446,6600.952514
440305,69635,113.98562,22.54298,127.81,7,4,2,0,0,466.224784,1709.658978,1038.370463
440305,63245,113.98563,22.54297,87.28,7,3,1,0,0,466.224784,1709.658978,1038.370463
440305,71918,113.98564,22.54296,84.82,7,3,1,0,0,466.224784,1709.658978,1038.370463
440305,86274,113.93966,22.54265,78.24,8,3,1,1,6.93,177.1326631,2226.724126,3666.027929
440305,129145,113.93967,22.54266,40.11,8,1,1,1,6.93,177.1326631,2226.724126,3666.027929
440305,137353,113.94518,22.54256,34,8,1,1,1,6.93,399.7142669,2751.893176,3106.872454
440305,149143,113.94519,22.54257,28.03,8,1,1,1,6.93,399.7142669,2751.893176,3106.872454
440304,67904,114.0441,22.54247,83.06,8,3,1,0,0,386.7052739,977.5305543,4943.858055
440304,63343,114.0857,22.54241,37.1,29,1,1,1,8.67,429.599069,613.4168725,7092.934335
440305,92596,113.93394,22.54231,57.67,31,2,1,1,6.93,524.0884611,1687.838501,4252.81883
440305,98684,113.93395,22.54232,56.95,31,2,1,1,6.93,524.0884611,1687.838501,4252.81883
440305,98839,113.93396,22.54233,57.67,31,2,1,1,6.93,524.0884611,1687.838501,4252.81883
440305,117284,113.92751,22.54226,93.79,29,4,2,1,17.43,1092.626057,1166.67937,4910.856813
440305,133826,113.92752,22.54227,69.12,28,2,1,1,17.43,1092.626057,1166.67937,4910.856813
440305,137303,113.92753,22.54228,70.72,29,2,1,1,17.43,1092.626057,1166.67937,4910.856813
440304,104488,114.09405,22.54223,161.55,31,4,2,1,10.08,285.4606826,688.0413525,6775.871775
440304,120252,114.09406,22.54224,81.08,31,2,1,1,10.08,285.4606826,688.0413525,6775.871775
440304,124569,114.09407,22.54225,81.08,31,2,1,1,10.08,285.4606826,688.0413525,6775.871775
440305,112396,113.92957,22.54223,86,7,3,1,1,17.43,967.5771503,1314.107392,4702.139286
440303,37233,114.12137,22.54222,98.3,29,4,2,0,0,71.66377929,33.59870629,5001.084589
440304,138409,114.01525,22.54219,92.48,18,3,1,1,13.96,233.178566,2913.561367,1997.28047
440304,53931,114.04843,22.54189,102.91,26,3,1,0,0,67.0625062,913.3952715,5383.054038
440304,46043,114.100146,22.541674,80.36,6,2,1,0,0,102.0425859,1178.263304,6653.628328
440305,109499,113.92598,22.54155,117.81,18,3,2,1,17.43,925.9365392,1003.820132,5076.783128
440305,123522,113.92599,22.54156,119.25,31,5,2,1,17.43,925.9365392,1003.820132,5076.783128
440305,77920,113.96871,22.54142,65.97,26,2,1,0,0,173.6198081,2718.658021,860.5548203
440305,85970,113.96872,22.54143,90.73,26,3,2,0,0,173.6198081,2718.658021,860.5548203
440305,86456,113.96873,22.54144,76.34,26,2,1,0,0,173.6198081,2718.658021,860.5548203
440305,73171,113.96874,22.54145,36.9,8,1,1,0,0,173.6198081,2718.658021,860.5548203
440304,65780,114.04735,22.54136,40.59,33,1,1,0,0,170.3765582,982.9370108,5268.518426
440305,103176,113.9502,22.54135,75.6,14,2,1,1,6.93,252.9163018,3218.856366,2622.002762
440305,111239,113.9503,22.54136,69.76,14,2,1,1,6.93,252.9163018,3218.856366,2622.002762
440305,74118,113.94479,22.54123,101.19,34,3,2,1,6.93,489.1876701,2667.715856,3176.059122
440305,60160,113.94236,22.54104,332.45,32,6,3,1,6.93,355.0989821,2422.376526,3424.843846
440305,104039,113.93585,22.54097,105.73,11,3,2,1,6.93,316.3798447,1791.665855,4083.80674
440305,38911,113.91612,22.54073,77.1,32,2,1,0,0,711.0141333,793.5667456,6095.612692
440304,145099,114.01843,22.54073,93.04,30,3,2,1,13.96,309.4352184,2925.042163,2296.796209
440305,69054,113.91665,22.54072,97.75,25,3,1,0,0,681.4918597,767.3605467,6041.637345
440304,59804,114.027204,22.540582,51,29,1,1,1,13.96,453.6134757,2462.341226,3194.828485
440303,28515,114.124916,22.540536,110.12,28,3,1,0,0,481.2369616,440.9346962,4787.493745
440303,56248,114.12717,22.54027,46.58,29,1,1,0,0,552.4860719,668.5721626,4610.791854
440303,46910,114.12718,22.54028,55,29,1,1,0,0,552.4860719,668.5721626,4610.791854
440303,41715,114.12719,22.54029,56.09,31,1,1,0,0,552.4860719,668.5721626,4610.791854
440305,84326,113.96704,22.54026,135.19,32,4,2,0,0,209.9031701,2802.747075,1074.787959
440305,87218,113.96705,22.54027,114.77,32,4,2,0,0,209.9031701,2802.747075,1074.787959
440305,89927,113.96706,22.54028,103.64,33,3,2,0,0,209.9031701,2802.747075,1074.787959
440304,96375,114.032931,22.54019,32.27,8,1,1,1,13.96,169.2715784,1970.618898,3780.564018
440304,85323,114.032932,22.54018,33.99,7,1,1,1,13.96,169.2715784,1970.618898,3780.564018
440305,75983,113.98497,22.54011,104.63,30,2,2,0,0,633.1486246,1441.610132,1106.730151
440305,79414,113.98498,22.54012,130.33,6,3,2,0,0,633.1486246,1441.610132,1106.730151
440303,45872,114.12642,22.54007,45.78,29,1,1,0,0,561.7348908,603.6460789,4687.39522
440303,47439,114.12643,22.54008,68.51,29,2,1,0,0,561.7348908,603.6460789,4687.39522
440303,49869,114.12644,22.54009,53.34,29,2,1,0,0,561.7348908,603.6460789,4687.39522
440304,60749,114.099,22.539825,130.95,11,3,2,0,0,969.7937435,1362.052892,7784.324641
440304,111493,114.01566,22.53947,69.96,7,3,1,1,13.96,487.1364297,2807.079995,2003.23557
440304,116234,114.01567,22.53948,76.57,7,3,1,1,13.96,487.1364297,2807.079995,2003.23557
440304,100594,114.01505,22.53942,87.68,7,3,1,1,13.96,464.4161805,2748.299411,1940.296089
